provider,lat,lon,num_stops_per_day,score,id,geometry,in_county
GTFSTransitData_VN_transit_score.csv,38.3099167,-122.3060811,31,4,136,POINT (-122.3060811 38.3099167),True
GTFSTransitData_VN_transit_score.csv,38.31,-122.296111,35,4,137,POINT (-122.296111 38.31),True
GTFSTransitData_VN_transit_score.csv,38.310176,-122.281738,39,4,138,POINT (-122.281738 38.310176),True
GTFSTransitData_VN_transit_score.csv,38.310183,-122.285111,203,4,139,POINT (-122.285111 38.310183),True
GTFSTransitData_VN_transit_score.csv,38.310278,-122.283333,39,4,140,POINT (-122.283333 38.310278),True
GTFSTransitData_VN_transit_score.csv,38.310556,-122.276111,39,4,141,POINT (-122.276111 38.310556),True
GTFSTransitData_VN_transit_score.csv,38.310556,-122.275833,39,4,142,POINT (-122.275833 38.310556),True
GTFSTransitData_VN_transit_score.csv,38.310556,-122.274167,39,4,143,POINT (-122.274167 38.310556),True
GTFSTransitData_VN_transit_score.csv,38.3115667,-122.3065531,31,4,144,POINT (-122.3065531 38.3115667),True
GTFSTransitData_VN_transit_score.csv,38.311944,-122.316667,31,4,145,POINT (-122.316667 38.311944),True
GTFSTransitData_VN_transit_score.csv,38.312222,-122.294167,39,4,146,POINT (-122.294167 38.312222),True
GTFSTransitData_VN_transit_score.csv,38.312778,-122.313056,31,4,147,POINT (-122.313056 38.312778),True
GTFSTransitData_VN_transit_score.csv,38.313056,-122.285,67,4,148,POINT (-122.285 38.313056),True
GTFSTransitData_VN_transit_score.csv,38.313611,-122.3075,31,4,149,POINT (-122.3075 38.313611),True
GTFSTransitData_VN_transit_score.csv,38.313611,-122.285278,59,4,150,POINT (-122.285278 38.313611),True
GTFSTransitData_VN_transit_score.csv,38.315,-122.2975,70,4,151,POINT (-122.2975 38.315),True
GTFSTransitData_VN_transit_score.csv,38.315278,-122.285,67,4,152,POINT (-122.285 38.315278),True
GTFSTransitData_VN_transit_score.csv,38.315556,-122.318056,31,4,153,POINT (-122.318056 38.315556),True
GTFSTransitData_VN_transit_score.csv,38.315833,-122.295278,70,4,154,POINT (-122.295278 38.31583300000001),True
GTFSTransitData_VN_transit_score.csv,38.316111,-122.298056,39,4,155,POINT (-122.298056 38.316111),True
GTFSTransitData_VN_transit_score.csv,38.316667,-122.3175,31,4,156,POINT (-122.3175 38.316667),True
GTFSTransitData_VN_transit_score.csv,38.3175,-122.285278,96,4,157,POINT (-122.285278 38.3175),True
GTFSTransitData_VN_transit_score.csv,38.317778,-122.285,96,4,158,POINT (-122.285 38.317778),True
GTFSTransitData_VN_transit_score.csv,38.318056,-122.298333,35,4,159,POINT (-122.298333 38.318056),True
GTFSTransitData_VN_transit_score.csv,38.318611,-122.294444,70,4,160,POINT (-122.294444 38.318611),True
GTFSTransitData_VN_transit_score.csv,38.318889,-122.298889,74,4,161,POINT (-122.298889 38.318889),True
GTFSTransitData_VN_transit_score.csv,38.32,-122.318889,31,4,162,POINT (-122.318889 38.32),True
GTFSTransitData_VN_transit_score.csv,38.3200056,-122.2850847,124,4,163,POINT (-122.2850847 38.3200056),True
GTFSTransitData_VN_transit_score.csv,38.320833,-122.302222,140,4,164,POINT (-122.302222 38.320833),True
GTFSTransitData_VN_transit_score.csv,38.320833,-122.300278,35,4,165,POINT (-122.300278 38.320833),True
GTFSTransitData_VN_transit_score.csv,38.321111,-122.299444,78,4,166,POINT (-122.299444 38.321111),True
GTFSTransitData_VN_transit_score.csv,38.321137,-122.29269,70,4,167,POINT (-122.29269 38.321137),True
GTFSTransitData_VN_transit_score.csv,38.321389,-122.306389,126,4,168,POINT (-122.306389 38.321389),True
GTFSTransitData_VN_transit_score.csv,38.321667,-122.315556,31,4,169,POINT (-122.315556 38.321667),True
GTFSTransitData_VN_transit_score.csv,38.321944,-122.305,172,4,170,POINT (-122.305 38.321944),True
GTFSTransitData_VN_transit_score.csv,38.322222,-122.310556,382,4,171,POINT (-122.310556 38.322222),True
GTFSTransitData_VN_transit_score.csv,38.3225,-122.301111,154,4,172,POINT (-122.301111 38.3225),True
GTFSTransitData_VN_transit_score.csv,38.3227539,-122.2992683,76,4,173,POINT (-122.2992683 38.3227539),True
GTFSTransitData_VN_transit_score.csv,38.323333,-122.296667,200,4,174,POINT (-122.296667 38.323333),True
GTFSTransitData_VN_transit_score.csv,38.323333,-122.296111,24,4,175,POINT (-122.296111 38.323333),True
GTFSTransitData_VN_transit_score.csv,38.323333,-122.292778,39,4,176,POINT (-122.292778 38.323333),True
GTFSTransitData_VN_transit_score.csv,38.323611,-122.321944,31,4,177,POINT (-122.321944 38.323611),True
GTFSTransitData_VN_transit_score.csv,38.323611,-122.3175,31,4,178,POINT (-122.3175 38.323611),True
GTFSTransitData_VN_transit_score.csv,38.323611,-122.300833,78,4,179,POINT (-122.300833 38.323611),True
GTFSTransitData_VN_transit_score.csv,38.323611,-122.293611,87,4,180,POINT (-122.293611 38.323611),True
GTFSTransitData_VN_transit_score.csv,38.323889,-122.293056,24,4,181,POINT (-122.293056 38.323889),True
GTFSTransitData_VN_transit_score.csv,38.324444,-122.291111,67,4,182,POINT (-122.291111 38.324444),True
GTFSTransitData_VN_transit_score.csv,38.325556,-122.319167,31,4,183,POINT (-122.319167 38.325556),True
GTFSTransitData_VN_transit_score.csv,38.325556,-122.313333,41,4,184,POINT (-122.313333 38.325556),True
GTFSTransitData_VN_transit_score.csv,38.326111,-122.313611,28,4,185,POINT (-122.313611 38.326111),True
GTFSTransitData_VN_transit_score.csv,38.326667,-122.303056,39,4,186,POINT (-122.303056 38.326667),True
GTFSTransitData_VN_transit_score.csv,38.327222,-122.303333,39,4,187,POINT (-122.303333 38.327222),True
GTFSTransitData_VN_transit_score.csv,38.328056,-122.321111,31,4,188,POINT (-122.321111 38.328056),True
GTFSTransitData_VN_transit_score.csv,38.328611,-122.304444,39,4,189,POINT (-122.304444 38.328611),True
GTFSTransitData_VN_transit_score.csv,38.328889,-122.305,39,4,190,POINT (-122.305 38.328889),True
GTFSTransitData_VN_transit_score.csv,38.330556,-122.305833,39,4,191,POINT (-122.305833 38.330556),True
GTFSTransitData_VN_transit_score.csv,38.331944,-122.316389,39,4,192,POINT (-122.316389 38.331944),True
GTFSTransitData_VN_transit_score.csv,38.331944,-122.313889,39,4,193,POINT (-122.313889 38.331944),True
GTFSTransitData_VN_transit_score.csv,38.331944,-122.3075,39,4,194,POINT (-122.3075 38.331944),True
GTFSTransitData_VN_transit_score.csv,38.3325,-122.310278,39,4,195,POINT (-122.310278 38.3325),True
GTFSTransitData_VN_transit_score.csv,38.333333,-122.320278,45,4,196,POINT (-122.320278 38.333333),True
GTFSTransitData_VN_transit_score.csv,38.333333,-122.319167,39,4,197,POINT (-122.319167 38.333333),True
GTFSTransitData_VN_transit_score.csv,38.335556,-122.309722,39,4,198,POINT (-122.309722 38.335556),True
GTFSTransitData_VN_transit_score.csv,38.335833,-122.322222,17,3,199,POINT (-122.322222 38.335833),True
GTFSTransitData_VN_transit_score.csv,38.3360601,-122.320962,39,4,200,POINT (-122.320962 38.33606010000001),True
GTFSTransitData_VN_transit_score.csv,38.33608,-122.322264,52,4,201,POINT (-122.322264 38.33608),True
GTFSTransitData_VN_transit_score.csv,38.3369858,-122.3217452,39,4,202,POINT (-122.3217452 38.3369858),True
GTFSTransitData_VN_transit_score.csv,38.338889,-122.324722,45,4,203,POINT (-122.324722 38.338889),True
GTFSTransitData_VN_transit_score.csv,38.338889,-122.312222,39,4,204,POINT (-122.312222 38.338889),True
GTFSTransitData_VN_transit_score.csv,38.34,-122.322778,39,4,205,POINT (-122.322778 38.34),True
GTFSTransitData_VN_transit_score.csv,38.340278,-122.325278,69,4,206,POINT (-122.325278 38.34027800000001),True
GTFSTransitData_VN_transit_score.csv,38.341111,-122.318611,39,4,207,POINT (-122.318611 38.341111),True
GTFSTransitData_VN_transit_score.csv,38.341389,-122.326111,45,4,208,POINT (-122.326111 38.341389),True
GTFSTransitData_VN_transit_score.csv,38.341389,-122.325833,24,4,209,POINT (-122.325833 38.341389),True
GTFSTransitData_VN_transit_score.csv,38.341944,-122.315278,39,4,210,POINT (-122.315278 38.341944),True
GTFSTransitData_VN_transit_score.csv,38.3425,-122.326667,28,4,211,POINT (-122.326667 38.3425),True
GTFSTransitData_VN_transit_score.csv,38.3427333,-122.3264873,41,4,212,POINT (-122.3264873 38.3427333),True
GTFSTransitData_VN_transit_score.csv,38.346944,-122.328611,41,4,213,POINT (-122.328611 38.346944),True
GTFSTransitData_VN_transit_score.csv,38.347222,-122.328889,28,4,214,POINT (-122.328889 38.347222),True
GTFSTransitData_VN_transit_score.csv,38.393889,-122.364444,69,4,215,POINT (-122.364444 38.393889),True
GTFSTransitData_VN_transit_score.csv,38.396944,-122.360556,8,2,216,POINT (-122.360556 38.396944),True
GTFSTransitData_VN_transit_score.csv,38.398611,-122.358611,52,4,217,POINT (-122.358611 38.398611),True
GTFSTransitData_VN_transit_score.csv,38.398611,-122.358333,17,3,218,POINT (-122.358333 38.398611),True
GTFSTransitData_VN_transit_score.csv,38.401302,-122.360197,69,4,219,POINT (-122.360197 38.401302),True
GTFSTransitData_VN_transit_score.csv,38.406111,-122.366667,28,4,220,POINT (-122.366667 38.406111),True
GTFSTransitData_VN_transit_score.csv,38.406667,-122.366944,41,4,221,POINT (-122.366944 38.406667),True
GTFSTransitData_VN_transit_score.csv,38.436944,-122.402778,69,4,222,POINT (-122.402778 38.436944),True
GTFSTransitData_VN_transit_score.csv,38.459444,-122.423056,69,4,223,POINT (-122.423056 38.459444),True
GTFSTransitData_VN_transit_score.csv,38.482222,-122.441944,69,4,224,POINT (-122.441944 38.482222),True
GTFSTransitData_VN_transit_score.csv,38.497778,-122.460556,45,4,225,POINT (-122.460556 38.497778),True
GTFSTransitData_VN_transit_score.csv,38.502778,-122.466389,45,4,226,POINT (-122.466389 38.502778),True
GTFSTransitData_VN_transit_score.csv,38.505833,-122.471667,73,4,227,POINT (-122.471667 38.505833),True
GTFSTransitData_VN_transit_score.csv,38.506067,-122.471792,4,1,228,POINT (-122.471792 38.506067),True
GTFSTransitData_VN_transit_score.csv,38.508333,-122.475833,45,4,229,POINT (-122.475833 38.508333),True
GTFSTransitData_VN_transit_score.csv,38.525556,-122.498056,45,4,230,POINT (-122.498056 38.525556),True
GTFSTransitData_VN_transit_score.csv,38.558056,-122.533889,45,4,231,POINT (-122.533889 38.558056),True
GTFSTransitData_VN_transit_score.csv,38.564722,-122.5575,45,4,232,POINT (-122.5575 38.564722),True
GTFSTransitData_VN_transit_score.csv,38.577177,-122.579755,45,4,233,POINT (-122.579755 38.577177),True
GTFSTransitData_VN_transit_score.csv,38.577376,-122.579483,8,2,234,POINT (-122.579483 38.577376),True
GTFSTransitData_VN_transit_score.csv,38.583333,-122.574444,69,4,235,POINT (-122.574444 38.583333),True
