lon,lat,county,num_stops_per_day,score_std,geometry,in_county
-121.550377,38.490601,67,9,0.5,POINT (-121.550377 38.490601),True
-121.518189,38.490646,67,29,1.0,POINT (-121.518189 38.49064600000001),True
-121.480229,38.490661,67,24,1.0,POINT (-121.480229 38.490661),True
-121.480522,38.490715,67,24,1.0,POINT (-121.480522 38.490715),True
-121.45632,38.490812,67,106,1.0,POINT (-121.45632 38.490812),True
-121.414787,38.490822,67,88,1.0,POINT (-121.414787 38.49082199999999),True
-121.550842,38.49107,67,8,0.5,POINT (-121.550842 38.49107),True
-121.415001,38.491169,67,86,1.0,POINT (-121.415001 38.491169),True
-121.491886,38.491177,67,1,0.25,POINT (-121.491886 38.491177),True
-121.521614,38.491509,67,27,1.0,POINT (-121.521614 38.491509),True
-121.422221,38.491538,67,86,1.0,POINT (-121.422221 38.491538),True
-121.521095,38.491669,67,29,1.0,POINT (-121.521095 38.491669),True
-121.422043,38.491791,67,88,1.0,POINT (-121.422043 38.491791),True
-121.425003,38.491844,67,86,1.0,POINT (-121.425003 38.491844),True
-121.427216,38.491886,67,88,1.0,POINT (-121.427216 38.491886),True
-121.538536,38.491951,67,28,1.0,POINT (-121.538536 38.491951),True
-121.425179,38.492085,67,88,1.0,POINT (-121.425179 38.492085),True
-121.511315,38.492132,67,95,1.0,POINT (-121.511315 38.492132),True
-121.43438,38.492149,67,86,1.0,POINT (-121.43438 38.492149),True
-121.538194,38.492154,67,27,1.0,POINT (-121.538194 38.492154),True
-121.426778,38.492475,67,86,1.0,POINT (-121.426778 38.492475),True
-121.481041,38.492558,67,24,1.0,POINT (-121.481041 38.492558),True
-121.511203,38.492613,67,97,1.0,POINT (-121.511203 38.492613),True
-121.420059,38.49284,67,86,1.0,POINT (-121.420059 38.49284),True
-121.457832,38.492851,67,108,1.0,POINT (-121.457832 38.492851),True
-121.419342,38.493126,67,88,1.0,POINT (-121.419342 38.493126),True
-121.538605,38.493317,67,28,1.0,POINT (-121.538605 38.493317),True
-121.434296,38.493408,67,88,1.0,POINT (-121.434296 38.493408),True
-121.415802,38.493424,67,86,1.0,POINT (-121.415802 38.493424),True
-121.538887,38.493458,67,27,1.0,POINT (-121.538887 38.493458),True
-121.415886,38.493485,67,88,1.0,POINT (-121.415886 38.493485),True
-121.541064,38.493535,67,27,1.0,POINT (-121.541064 38.49353499999999),True
-121.541489,38.493569,67,28,1.0,POINT (-121.541489 38.493569),True
-121.491966,38.493668,67,1,0.25,POINT (-121.491966 38.493668),True
-121.48048,38.493943,67,24,1.0,POINT (-121.48048 38.493943),True
-121.458092,38.494038,67,106,1.0,POINT (-121.458092 38.494038),True
-121.552528,38.49427,67,8,0.5,POINT (-121.552528 38.49427),True
-121.537351,38.494464,67,6,0.5,POINT (-121.537351 38.494464),True
-121.511694,38.494608,67,97,1.0,POINT (-121.511694 38.494608),True
-121.552551,38.494736,67,9,0.5,POINT (-121.552551 38.494736),True
-121.512047,38.494755,67,95,1.0,POINT (-121.512047 38.494755),True
-121.523726,38.49478,67,29,1.0,POINT (-121.523726 38.49478),True
-121.434547,38.495197,67,86,1.0,POINT (-121.434547 38.495197),True
-121.45919,38.495346,67,108,1.0,POINT (-121.45919 38.495346),True
-121.511437,38.495476,67,210,1.0,POINT (-121.511437 38.495476),True
-121.523918,38.495548,67,27,1.0,POINT (-121.523918 38.495548),True
-121.506989,38.49559,67,210,1.0,POINT (-121.506989 38.49559),True
-121.503059,38.495606,67,210,1.0,POINT (-121.503059 38.495606),True
-121.434328,38.495626,67,88,1.0,POINT (-121.434328 38.495626),True
-121.499031,38.495651,67,210,1.0,POINT (-121.499031 38.495651),True
-121.495438,38.495667,67,210,1.0,POINT (-121.495438 38.495667),True
-121.491043,38.49567,67,210,1.0,POINT (-121.491043 38.49567),True
-121.523331,38.495682,67,211,1.0,POINT (-121.523331 38.495682),True
-121.484573,38.495724,67,210,1.0,POINT (-121.484573 38.495724),True
-121.476108,38.495732,67,210,1.0,POINT (-121.476108 38.495732),True
-121.511055,38.495735,67,203,1.0,POINT (-121.511055 38.495735),True
-121.480034,38.495754,67,210,1.0,POINT (-121.480034 38.495754),True
-121.481873,38.495762,67,210,1.0,POINT (-121.481873 38.495762),True
-121.473381,38.495789,67,266,1.0,POINT (-121.473381 38.495789),True
-121.553009,38.495808,67,8,0.5,POINT (-121.553009 38.495808),True
-121.507164,38.495819,67,203,1.0,POINT (-121.507164 38.495819),True
-121.471336,38.495846,67,266,1.0,POINT (-121.471336 38.495846),True
-121.499649,38.495873,67,203,1.0,POINT (-121.499649 38.495873),True
-121.496071,38.495884,67,203,1.0,POINT (-121.496071 38.495884),True
-121.503754,38.495907,67,203,1.0,POINT (-121.503754 38.495907),True
-121.491699,38.495911,67,203,1.0,POINT (-121.491699 38.495911),True
-121.483803,38.495915,67,202,1.0,POINT (-121.483803 38.495915),True
-121.486168,38.495926,67,202,1.0,POINT (-121.486168 38.495926),True
-121.474159,38.495949,67,202,1.0,POINT (-121.474159 38.495949),True
-121.479622,38.495953,67,202,1.0,POINT (-121.479622 38.495953),True
-121.466217,38.495953,67,266,1.0,POINT (-121.466217 38.495953),True
-121.458458,38.495964,67,370,1.0,POINT (-121.458458 38.495964),True
-121.455055,38.495968,67,370,1.0,POINT (-121.455055 38.495968),True
-121.461645,38.49599,67,266,1.0,POINT (-121.461645 38.49599),True
-121.423737,38.495991,67,28,1.0,POINT (-121.423737 38.495991),True
-121.450554,38.495998,67,370,1.0,POINT (-121.450554 38.495998),True
-121.428375,38.496021,67,28,1.0,POINT (-121.428375 38.496021),True
-121.434235,38.49604,67,50,1.0,POINT (-121.434235 38.49604),True
-121.44122,38.496043,67,50,1.0,POINT (-121.44122 38.496043),True
-121.46801,38.496044,67,256,1.0,POINT (-121.46801 38.496044),True
-121.543396,38.496121,67,28,1.0,POINT (-121.543396 38.496121),True
-121.417076,38.49614,67,28,1.0,POINT (-121.417076 38.49614),True
-121.42347,38.496147,67,28,1.0,POINT (-121.42347 38.496147),True
-121.427246,38.49617,67,28,1.0,POINT (-121.427246 38.49617),True
-121.461655,38.496193,67,256,1.0,POINT (-121.461655 38.496193),True
-121.456078,38.496193,67,374,1.0,POINT (-121.456078 38.496193),True
-121.452004,38.49622,67,374,1.0,POINT (-121.452004 38.49622),True
-121.434914,38.496243,67,582,1.0,POINT (-121.434914 38.496243),True
-121.438568,38.496277,67,374,1.0,POINT (-121.438568 38.496277),True
-121.429955,38.496277,67,580,1.0,POINT (-121.429955 38.496277),True
-121.524684,38.496308,67,205,1.0,POINT (-121.524684 38.496308),True
-121.523384,38.496323,67,28,1.0,POINT (-121.523384 38.496323),True
-121.511831,38.496438,67,96,1.0,POINT (-121.511831 38.496438),True
-121.45945,38.496571,67,120,1.0,POINT (-121.45945 38.496571),True
-121.552605,38.496639,67,9,0.5,POINT (-121.552605 38.496639),True
-121.416333,38.496686,67,28,1.0,POINT (-121.416333 38.496686),True
-121.511632,38.496822,67,95,1.0,POINT (-121.511632 38.49682199999999),True
-121.543634,38.496873,67,27,1.0,POINT (-121.543634 38.496873),True
-121.437927,38.497231,67,758,1.0,POINT (-121.437927 38.497231),True
-121.530724,38.497269,67,211,1.0,POINT (-121.530724 38.497269),True
-121.471467,38.497317,67,276,1.0,POINT (-121.471467 38.497317),True
-121.429566,38.49733,67,78,1.0,POINT (-121.429566 38.49733),True
-121.523254,38.497456,67,26,1.0,POINT (-121.523254 38.497456),True
-121.531403,38.497669,67,204,1.0,POINT (-121.531403 38.497669),True
-121.510302,38.49776,67,95,1.0,POINT (-121.510302 38.49776),True
-121.471909,38.497968,67,934,1.0,POINT (-121.471909 38.497968),True
-121.551804,38.498074,67,8,0.5,POINT (-121.551804 38.498074),True
-121.43029,38.498219,67,608,1.0,POINT (-121.43029 38.498219),True
-121.460358,38.498242,67,120,1.0,POINT (-121.460358 38.498242),True
-121.471646,38.498243,67,278,1.0,POINT (-121.471646 38.498243),True
-121.438271,38.498283,67,230,1.0,POINT (-121.438271 38.498283),True
