N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
592,3758,,-121.3746707,38.66957217,0.438797411,0.564141249,0.454338115,1.0,1.0,1.0,0.669851644,0.721518987,0.582278481,0.161392405,0.487179487,0.82278481,0.598101266,0.838607595,0.901898734,0.797468354,0.740659341,0.984177215,0.635631605,0.584158416,0.901735554,0.767636273,0.764678237,0.635631605,0.487933877,0.5
614,3993,,-121.3659541,38.69860611,0.140480802,0.137990026,0.158460533,1.0,1.0,1.0,0.436931361,0.819620253,0.974683544,0.332278481,0.419871795,0.863924051,0.803797468,0.617088608,0.556962025,0.696202532,0.923076923,0.958860759,0.690991444,0.195819582,0.910262841,0.734221674,0.730796245,0.690991444,0.507340895,0.5
625,3878,,-121.356436,38.68424521,0.427692577,0.483427353,0.486130353,1.0,1.0,1.0,1.397250283,0.632911392,0.401898734,0.528481013,0.506410256,0.952531646,0.632911392,0.60443038,0.534810127,0.575949367,0.974725275,0.898734177,0.53397081,0.473047305,0.486607143,0.706730821,0.718073393,0.53397081,0.377373629,0.5
633,4048,,-121.3845958,38.70562865,0.120106625,0.119933202,0.151292176,1.0,1.0,1.0,0.391332003,0.35443038,0.199367089,0.512658228,0.169871795,0.889240506,0.765822785,0.180379747,0.155063291,0.306962025,0.982417582,0.810126582,0.72924006,0.746974697,0.520967095,0.546608673,0.546099679,0.72924006,0.398608942,0.5
655,4157,,-121.3756102,38.72019872,0.967417079,0.998571253,0.856379527,1.0,1.0,1.0,0.0,0.515822785,0.89556962,0.53164557,0.179487179,0.544303797,0.734177215,0.443037975,0.632911392,0.246835443,0.669230769,0.556962025,0.897332662,0.411441144,0.535664125,0.496691439,0.498461208,0.897332662,0.445697451,0.5
660,4160,,-121.3478422,38.72051038,1.455853201,1.475870452,1.51854465,1.0,1.0,1.0,0.0,0.142405063,0.632911392,0.284810127,0.128205128,0.60443038,0.430379747,0.414556962,0.227848101,0.278481013,0.749450549,0.791139241,0.838449925,0.156215622,0.795595907,0.419544237,0.418532186,0.838449925,0.351766834,0.5
684,3646,,-121.3281629,38.655623,0.025934515,0.038239832,0.155780204,1.0,1.0,1.0,0.219954551,0.436708861,0.943037975,0.0,0.701923077,0.10443038,0.386075949,0.439873418,0.034810127,0.768987342,0.598901099,0.452531646,0.684952189,0.876787679,0.659309791,0.492539984,0.47769126,0.684952189,0.33736634,0.75
692,3369,,-121.3460023,38.61925748,0.12350481,0.136667316,0.277793119,1.0,1.0,1.0,0.537965245,0.325949367,0.889240506,0.123417722,0.371794872,0.756329114,0.363924051,0.787974684,0.629746835,0.588607595,0.641758242,0.57278481,0.753397081,0.146314631,0.484801364,0.541048779,0.539443974,0.753397081,0.407624571,0.5
700,3208,,-121.336368,38.59766305,0.371637028,0.45080874,0.471435266,0.25,0.25,0.25,1.293881034,0.148734177,0.57278481,0.39556962,0.432692308,0.132911392,0.110759494,0.303797468,0.753164557,0.784810127,0.20989011,0.066455696,0.795671867,0.550055006,0.389195425,0.459148537,0.47572851,0.795671867,0.365331573,0.5
703,3479,,-121.318529,38.63402697,0.149799719,0.159629893,0.154670006,0.25,0.25,0.25,0.464099618,0.060126582,0.851265823,0.142405063,0.987179487,0.455696203,0.142405063,0.471518987,0.458860759,0.787974684,0.12967033,0.430379747,0.624056366,0.602860286,0.413573435,0.42393058,0.410022634,0.624056366,0.264556577,0.75
718,3592,,-121.300292,38.64869143,0.433874525,0.449929631,0.448164269,0.25,1.0,0.25,1.331968424,0.069620253,0.648734177,0.300632911,0.977564103,0.189873418,0.167721519,0.25,0.569620253,0.746835443,0.217582418,0.313291139,0.843482637,0.397139714,0.40625,0.448477897,0.462093989,0.843482637,0.378283319,0.5
740,3652,,-121.2726745,38.65621824,0.029162725,0.199020836,0.268291554,1.0,1.0,1.0,0.496475114,0.208860759,0.243670886,0.196202532,0.192307692,0.107594937,0.601265823,0.53164557,0.591772152,0.674050633,0.32967033,0.189873418,0.676396578,0.803080308,0.439606742,0.417501484,0.429928184,0.676396578,0.282396575,0.75
768,4112,,-121.3014345,38.7137832,0.479485978,0.475967671,0.489955619,1.0,1.0,1.0,1.445409268,0.493670886,0.379746835,0.310126582,0.480769231,0.67721519,0.332278481,0.39556962,0.794303797,0.139240506,0.697802198,0.911392405,0.817815803,0.677667767,0.511587079,0.609865624,0.626551147,0.817815803,0.498757745,0.5
774,4004,,-121.2641663,38.69970969,0.416177675,0.429069908,0.479596129,1.0,1.0,1.0,1.324843712,0.458860759,0.528481013,0.015822785,0.903846154,0.607594937,0.14556962,0.344936709,0.746835443,0.53164557,0.60989011,0.512658228,0.656768998,0.606160616,0.638342697,0.579956213,0.59597829,0.656768998,0.380897261,0.5
810,3941,,-121.310306,38.69198622,0.318697092,0.359726483,0.365414082,1.0,1.0,1.0,1.043837657,0.047468354,0.481012658,0.101265823,0.993589744,0.338607595,0.056962025,0.930379747,0.908227848,0.268987342,0.647252747,0.335443038,0.790135883,0.114411441,0.957865169,0.536103334,0.563479324,0.790135883,0.423594481,0.5
815,3823,,-121.319301,38.67742109,0.099882518,0.117433484,0.13283211,1.0,1.0,1.0,0.350148112,0.284810127,0.727848101,0.164556962,0.583333333,0.867088608,0.155063291,0.246835443,0.85443038,0.237341772,0.518681319,0.651898734,0.714645194,0.350935094,0.816011236,0.486172898,0.491582229,0.714645194,0.347441125,0.5
828,3768,,-121.2821728,38.67058561,0.468657483,0.486785337,0.487001546,1.0,1.0,1.0,1.442444366,0.813291139,0.373417722,0.085443038,0.926282051,0.341772152,0.629746835,0.446202532,0.620253165,0.287974684,0.345054945,0.601265823,0.481127328,0.0440044,0.437750803,0.525464647,0.547639738,0.481127328,0.252815401,0.75
847,3948,,-121.2455375,38.69266866,0.95766143,0.993282405,1.002225561,1.0,1.0,1.0,0.0,0.186708861,0.990506329,0.041139241,0.836538462,0.759493671,0.231012658,0.123417722,0.28164557,0.07278481,0.665934066,0.449367089,0.659788626,0.0220022,0.653441011,0.389409543,0.385670011,0.659788626,0.256927987,0.75
