N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
157,2444,,-121.4729663,38.49480654,0.071569882,0.102049511,0.113839375,1.0,1.0,1.0,0.287458769,0.851265823,0.481012658,0.746835443,0.233974359,0.810126582,0.873417722,0.917721519,0.563291139,0.838607595,0.874725275,0.936708861,0.52994464,0.500550055,0.285864767,0.65313275,0.639862626,0.52994464,0.3461242,0.4
162,2326,,-121.4911315,38.48011661,0.088618746,0.097150106,0.166795655,1.0,1.0,0.25,0.352564507,0.724683544,0.965189873,0.917721519,0.221153846,0.708860759,0.905063291,0.721518987,0.78164557,0.386075949,0.840659341,0.705696203,0.597382989,0.381738174,0.880367175,0.688639653,0.697050149,0.597382989,0.411381615,0.4
189,2505,,-121.4454236,38.50237243,0.182653802,0.193548289,0.234889657,1.0,1.0,1.0,0.611091749,0.946202532,0.113924051,0.810126582,0.913461538,0.705696203,0.977848101,0.952531646,0.430379747,0.965189873,0.354945055,0.876582278,0.23502768,0.083608361,0.664325843,0.612520833,0.609119823,0.3,0.18375625,0.4
198,2508,,-121.4177372,38.50270006,0.06272486,0.067911281,0.068632033,1.0,1.0,1.0,0.199268174,0.797468354,0.316455696,0.930379747,0.868589744,0.724683544,0.955696203,0.819620253,0.496835443,0.873417722,0.023076923,0.794303797,0.145948666,0.518151815,0.500601926,0.549427609,0.531394374,0.3,0.164828283,6.0
209,2330,,-121.4542276,38.48056599,0.10948862,0.114422013,0.1163046,1.0,1.0,1.0,0.340215232,0.775316456,0.120253165,0.876582278,0.006410256,0.439873418,0.914556962,0.686708861,0.705696203,0.208860759,0.164835165,0.762658228,0.320080523,0.311331133,0.870585875,0.53437604,0.540773351,0.320080523,0.171043363,6.0
234,2946,,-121.391134,38.56087794,0.074000457,0.077659229,0.194197979,0.25,0.25,0.25,0.345857665,0.607594937,0.449367089,0.424050633,0.176282051,0.984177215,0.044303797,0.452531646,0.329113924,0.313291139,0.395604396,0.664556962,0.836940111,0.00660066,0.295495586,0.389297246,0.371910288,0.836940111,0.32581848,1.0
301,3149,,-121.4009161,38.58969998,0.039763852,0.08795628,0.154455282,1.0,1.0,1.0,0.282175415,0.784810127,0.205696203,0.240506329,0.413461538,0.78164557,0.420886076,0.78164557,0.360759494,0.490506329,0.662637363,0.405063291,0.455963764,0.761276128,0.506219904,0.500695743,0.494357735,0.455963764,0.228299116,0.8
328,3155,,-121.3454776,38.59032853,0.362581009,0.381852913,0.399061595,0.25,0.25,0.25,1.143495517,0.009493671,0.158227848,0.449367089,0.448717949,0.003164557,0.170886076,0.794303797,0.503164557,0.506329114,0.089010989,0.009493671,0.494715652,0.518151815,0.359249599,0.348415855,0.36613058,0.494715652,0.172366777,1.2
333,3530,,-121.3463961,38.64095432,0.521444136,0.649395196,0.554107747,1.0,1.0,1.0,0.0,0.063291139,0.936708861,0.370253165,0.182692308,0.037974684,0.003164557,0.060126582,0.784810127,0.46835443,0.251648352,0.170886076,0.658278812,0.645764576,0.27633427,0.29268601,0.289960706,0.658278812,0.192668999,1.2
342,3314,,-121.3551136,38.6119222,0.122048192,0.125014072,0.176027691,1.0,1.0,1.0,0.423089955,0.256329114,0.088607595,0.199367089,0.391025641,0.231012658,0.205696203,0.585443038,0.588607595,0.439873418,0.314285714,0.67721519,0.124811273,0.465346535,0.383978732,0.395411984,0.390813571,0.3,0.118623595,1.0
