geoid,lon,lat
06067007801,-121.310908778998,38.6313784893319
06067007903,-121.317572590288,38.6559082565933
06067008007,-121.282168736437,38.6582618285066
06067008009,-121.257927764247,38.6445016776115
06067008119,-121.300846527264,38.6710407952434
06067000100,-121.431328448532,38.5776121373752
06067005205,-121.395523456468,38.5374527553992
06067005404,-121.390992061476,38.5698573042264
06067005506,-121.410739502646,38.5926238046694
06067005510,-121.406082377769,38.5851681333722
06067005701,-121.373781102601,38.602995568046
06067005702,-121.374397854625,38.5862975920341
06067005402,-121.431645038809,38.5897625148857
06067009103,-121.340801002469,38.554857133736
06067008132,-121.31501499865,38.6952158475835
06067008142,-121.282757201989,38.702868934429
06067008210,-121.175855914881,38.7035251631276
06067008508,-121.126246193694,38.6365365801826
06067009312,-121.362896175934,38.458657500584
06067009324,-121.312176984236,38.4344208778678
06067009403,-121.28465186199,38.3460445840559
06067009900,-121.539203864859,38.2715090981674
06067009004,-121.326054812204,38.5669172402607
06067006202,-121.422281147184,38.6163710095948
06067007019,-121.494035330029,38.6458188208649
06067007503,-121.351006087757,38.6572746478152
06067008136,-121.29538276827,38.68567525322
06067008209,-121.18583631794,38.6883335487335
06067008703,-121.24109301664,38.6253224990105
06067003000,-121.429628467423,38.5358658340755
06067004009,-121.533871266893,38.4908085139668
06067004602,-121.460074165746,38.5176611326585
06067005606,-121.392224831164,38.5813710232978
06067007020,-121.533041022949,38.6093429189648
06067007206,-121.451184555419,38.7199029067498
06067007433,-121.355768772171,38.7117540745072
06067009408,-121.266418605701,38.2664637242928
06067009404,-121.169004472248,38.3858120731787
06067007421,-121.334807194933,38.7155074352629
06067007427,-121.37522840493,38.711331763235
06067007504,-121.361387233803,38.6476095837075
06067007906,-121.319718508462,38.6426013854954
06067008010,-121.281998755664,38.6390251399164
06067008141,-121.281307347711,38.6841309538096
06067008402,-121.150167775564,38.680408645624
06067008907,-121.281690466591,38.6120375093369
06067008912,-121.275045257505,38.6230848158734
06067009105,-121.371330726829,38.5619126614425
06067009317,-121.37845177098,38.4645893574176
06067009608,-121.416173943544,38.4477414166898
06067009617,-121.44074007756,38.4151421217749
06067009637,-121.42502710858,38.386858758057
06067001700,-121.441770419536,38.5519105857974
06067003202,-121.433512740958,38.5184573655361
06067003900,-121.518316048553,38.5307236818753
06067004004,-121.548394643721,38.5034801260692
06067004011,-121.527643834766,38.4804443869623
