stop_long,stop_lat,county,num_stops_per_day,score_std
-121.491886,38.491177,67,1,0.25
-121.521614,38.491509,67,27,1.0
-121.422221,38.491538,67,86,1.0
-121.521095,38.491669,67,29,1.0
-121.422043,38.491791,67,88,1.0
-121.425003,38.491844,67,86,1.0
-121.427216,38.491886,67,88,1.0
-121.538536,38.491951,67,28,1.0
-121.425179,38.492085,67,88,1.0
-121.511315,38.492132,67,95,1.0
-121.43438,38.492149,67,86,1.0
-121.538194,38.492154,67,27,1.0
-121.426778,38.492475,67,86,1.0
-121.481041,38.492558,67,24,1.0
-121.511203,38.492613,67,97,1.0
-121.420059,38.49284,67,86,1.0
-121.457832,38.492851,67,108,1.0
-121.419342,38.493126,67,88,1.0
-121.538605,38.493317,67,28,1.0
-121.434296,38.493408,67,88,1.0
-121.415802,38.493424,67,86,1.0
-121.538887,38.493458,67,27,1.0
-121.415886,38.493485,67,88,1.0
-121.541064,38.493535,67,27,1.0
-121.541489,38.493569,67,28,1.0
-121.491966,38.493668,67,1,0.25
-121.48048,38.493943,67,24,1.0
-121.458092,38.494038,67,106,1.0
-121.552528,38.49427,67,8,0.5
-121.537351,38.494464,67,6,0.5
-121.511694,38.494608,67,97,1.0
-121.552551,38.494736,67,9,0.5
-121.512047,38.494755,67,95,1.0
-121.523726,38.49478,67,29,1.0
-121.434547,38.495197,67,86,1.0
-121.45919,38.495346,67,108,1.0
-121.511437,38.495476,67,210,1.0
-121.523918,38.495548,67,27,1.0
-121.506989,38.49559,67,210,1.0
-121.503059,38.495606,67,210,1.0
-121.434328,38.495626,67,88,1.0
-121.499031,38.495651,67,210,1.0
-121.495438,38.495667,67,210,1.0
-121.491043,38.49567,67,210,1.0
-121.523331,38.495682,67,211,1.0
-121.484573,38.495724,67,210,1.0
-121.476108,38.495732,67,210,1.0
-121.511055,38.495735,67,203,1.0
-121.480034,38.495754,67,210,1.0
-121.481873,38.495762,67,210,1.0
-121.473381,38.495789,67,266,1.0
-121.553009,38.495808,67,8,0.5
-121.507164,38.495819,67,203,1.0
-121.471336,38.495846,67,266,1.0
